1,n,n,y,n,y,n,y,n,y,n,y,y,n,n,n,n,y
2,n,n,y,n,y,n,y,n,y,n,y,n,n,n,n,y,y
3,n,n,n,n,y,n,y,n,y,n,y,n,n,y,n,y,y
4,y,y,y,n,n,n,y,n,n,y,y,n,n,y,y,n,y
5,n,n,y,n,y,n,n,y,y,n,y,y,y,n,y,n,y
6,y,y,y,n,y,y,y,y,y,y,y,y,n,y,n,n,n
7,y,y,y,n,y,n,y,y,y,y,y,y,y,y,n,y,n
8,n,n,y,n,n,n,y,y,n,y,y,y,n,y,n,y,y
9,y,y,y,n,y,n,y,n,y,n,y,y,n,y,n,y,y
10,n,n,n,n,y,n,y,y,y,y,y,n,n,n,n,y,n
11,n,n,y,n,y,n,y,y,y,y,n,y,y,y,n,n,n
12,y,y,n,n,y,n,y,n,y,n,n,y,n,n,n,n,n
13,y,n,y,n,y,y,y,n,n,n,y,y,n,y,n,y,y
14,y,y,n,n,y,n,y,n,y,n,y,y,y,y,n,y,y
15,n,n,y,n,y,n,y,n,y,y,y,y,n,y,y,y,y
16,y,n,n,y,y,n,y,n,y,n,n,y,n,y,y,y,y
17,n,n,y,n,y,n,y,n,y,n,y,n,y,n,n,n,y
18,y,n,y,n,y,y,y,n,y,n,y,n,n,y,n,y,y
19,n,n,y,n,y,n,y,n,y,y,y,y,n,n,n,y,n
20,n,n,y,n,n,n,y,y,y,y,y,y,y,n,n,n,y
21,n,n,n,n,y,n,y,n,y,n,y,y,y,y,n,n,y
22,y,y,y,n,y,n,y,n,y,n,y,n,n,n,y,y,y
23,n,n,n,n,y,n,y,n,y,n,y,n,n,n,n,y,y
24,y,y,y,n,y,n,y,y,n,n,y,n,n,y,y,y,n
25,y,y,y,n,y,n,y,y,y,y,y,n,n,y,y,y,y
26,y,y,y,n,y,n,y,n,y,y,y,n,y,n,n,n,y
27,y,y,y,n,n,n,y,y,y,n,n,y,y,n,y,n,y
28,n,n,n,n,y,n,y,n,y,y,y,n,n,n,y,y,y
29,y,y,n,n,n,n,y,n,y,n,y,y,y,y,y,y,y
30,n,n,y,n,y,n,y,n,y,y,y,y,n,n,n,y,n
31,n,n,n,n,y,n,y,n,y,n,y,y,n,y,n,n,n
32,n,n,y,n,y,n,y,n,y,y,y,n,n,y,n,y,y
33,n,n,y,n,y,n,y,y,y,y,y,y,y,y,n,y,y
34,n,n,y,n,y,n,y,y,y,n,y,n,n,n,y,y,y
35,n,n,y,n,y,n,y,n,y,y,n,n,y,n,n,y,y
36,y,n,y,n,n,y,y,n,y,y,y,y,n,n,n,y,y
37,n,n,y,n,y,n,y,n,y,y,y,n,n,y,n,y,n
38,n,n,n,n,n,n,y,n,y,y,y,y,y,y,n,n,y
39,y,y,n,n,y,n,y,n,y,n,y,y,y,y,n,n,n
40,n,n,y,n,y,n,y,n,y,n,n,n,n,n,n,y,y
41,y,y,y,y,n,n,y,n,y,y,y,n,n,y,n,y,n
42,n,n,y,n,y,n,y,n,y,n,y,n,n,y,n,y,y
43,y,y,y,n,y,n,y,n,y,y,y,n,y,n,n,n,y
44,n,n,y,n,y,n,y,n,y,n,y,y,y,y,n,y,n
45,n,n,y,n,n,n,y,n,n,n,y,y,n,n,n,y,y
46,n,n,y,n,y,n,y,n,y,y,y,y,n,n,y,y,y
47,n,n,y,n,y,n,y,n,y,y,y,y,n,y,n,n,n
48,n,n,n,n,y,n,y,n,y,y,y,y,n,y,y,n,y
49,n,n,y,n,n,n,y,y,y,n,y,n,n,y,y,n,y
50,n,n,n,n,n,n,y,n,y,n,y,n,n,y,y,y,n
51,n,n,y,n,y,n,y,y,y,n,y,n,n,y,n,y,y
52,y,y,y,n,y,y,y,n,y,y,y,y,n,n,n,y,y
53,n,n,y,n,y,n,y,n,n,y,y,y,n,y,n,n,y
54,n,n,n,n,n,n,y,n,y,y,y,n,n,y,n,n,y
55,n,n,y,n,n,n,y,n,y,n,y,y,n,n,n,y,y
56,y,y,y,n,y,n,y,n,y,n,y,y,n,y,y,y,y
57,n,n,n,n,y,n,y,n,y,n,y,y,y,y,y,y,n
58,n,n,y,n,y,n,y,n,y,y,y,y,n,y,y,y,y
59,y,y,y,n,y,n,y,n,n,n,y,n,n,n,y,n,n
60,y,n,y,y,y,n,y,n,n,y,y,n,y,y,n,n,y
61,y,n,y,n,y,y,y,y,y,n,y,n,n,y,n,y,n
62,n,n,y,n,y,n,y,n,y,n,n,y,n,n,y,y,y
63,n,n,y,n,y,n,y,y,y,n,y,y,y,y,n,y,n
64,y,y,y,n,y,n,y,y,y,y,n,y,n,n,n,y,y
65,n,n,y,n,n,n,y,y,y,n,y,y,n,y,y,n,y
66,n,n,y,n,y,n,y,y,n,n,y,n,y,y,n,y,y
67,y,y,y,n,y,n,y,n,y,n,y,y,n,n,n,y,y
68,n,n,y,n,y,n,y,n,y,y,y,y,n,y,n,y,n
69,n,n,n,n,y,n,y,y,y,n,y,n,n,y,n,n,y
